Booking_ID,Pickup_Location,Vehicle_Type,Booking_Status,Booking_Value,Driver_Rating
CNR6570881442,Sarjapur Road,Prime SUV,Success,299,3.6
CNR6368371422,Indiranagar,Prime SUV,Canceled by Driver,474,
CNR8201070560,Malleshwaram,Auto,Success,402,3.3
CNR2899272804,Vijayanagar,Prime SUV,Driver Not Found,222,
CNR2479859794,Yelahanka,Prime SUV,Success,815,3.1
CNR1850719022,MG Road,Auto,Success,863,3.2
CNR5094376567,Devanahalli,eBike,Canceled by Driver,246,
CNR1893201508,HSR Layout,Mini,Success,274,3.6
CNR5074298099,HSR Layout,Prime Sedan,Success,286,3.5
CNR2281157114,RT Nagar,Prime Sedan,Success,638,4.0
CNR4950981431,Kengeri,Auto,Success,953,3.8
CNR5997420388,Chickpet,Prime SUV,Canceled by Customer,157,
CNR2321188573,Cox Town,Prime SUV,Canceled by Driver,140,
CNR3939359326,Varthur,Prime SUV,Success,763,4.7
CNR5602793736,Hosur Road,Mini,Canceled by Driver,804,
CNR6225502169,Kammanahalli,Prime SUV,Success,559,3.2
CNR6492506630,Whitefield,Prime SUV,Success,257,3.2
CNR6562373788,Magadi Road,eBike,Success,371,5.0
CNR1482689284,Majestic,Bike,Success,382,3.7
CNR5392812023,Devanahalli,Prime Sedan,Success,444,4.7
CNR3066501835,Vijayanagar,Mini,Success,313,3.4
CNR7638328063,Rajarajeshwari Nagar,eBike,Success,625,3.5
CNR3954408054,Electronic City,eBike,Driver Not Found,710,
CNR1970834582,Richmond Town,Auto,Success,394,4.5
CNR6100333384,Cox Town,Prime SUV,Canceled by Customer,204,
CNR2006869937,Kengeri,Mini,Canceled by Driver,145,
CNR4565632076,Bellandur,Auto,Success,169,3.6
CNR7424641886,Basavanagudi,Prime Sedan,Success,419,4.5
CNR1839795660,Chamarajpet,Prime SUV,Success,454,3.4
CNR7973237841,Yeshwanthpur,Prime SUV,Success,863,3.1
CNR6716670965,BTM Layout,eBike,Driver Not Found,405,
CNR7561335894,Ulsoor,eBike,Success,148,4.1
CNR1005939997,Kammanahalli,Auto,Success,733,3.6
CNR9005413085,Varthur,Bike,Success,129,5.0
CNR7048415283,RT Nagar,Prime Plus,Success,179,4.0
CNR7946098920,Ramamurthy Nagar,Bike,Driver Not Found,383,
CNR4010359416,Mysore Road,eBike,Canceled by Driver,859,
CNR4297239582,Shivajinagar,Bike,Success,360,3.5
CNR1356110582,Langford Town,Bike,Canceled by Driver,690,
CNR2552679255,MG Road,Prime Sedan,Success,951,3.1
CNR6151816816,Magadi Road,Bike,Canceled by Customer,130,
CNR1713082966,Sarjapur Road,Bike,Canceled by Driver,149,
CNR6489074001,Varthur,Prime Sedan,Success,318,3.4
CNR4852403475,Peenya,eBike,Success,481,3.0
CNR9855679187,BTM Layout,Prime SUV,Success,810,3.2
CNR1275746765,Kammanahalli,Prime SUV,Success,118,3.3
CNR7200381295,Rajarajeshwari Nagar,Prime SUV,Success,476,4.0
CNR6596170729,Koramangala,Prime Plus,Canceled by Driver,486,
CNR8743229892,KR Puram,Prime SUV,Success,816,3.2
CNR3511171067,Kadugodi,Prime SUV,Canceled by Customer,321,
CNR8758934289,Frazer Town,Bike,Success,439,4.2
CNR7032795857,Padmanabhanagar,Auto,Success,957,4.6
CNR5008119771,Majestic,Bike,Success,130,4.6
CNR7662523643,Bannerghatta Road,Prime SUV,Canceled by Driver,137,
CNR3500279552,Kammanahalli,Prime SUV,Success,395,4.8
CNR1040028686,Kammanahalli,Prime Plus,Success,128,4.9
CNR4210964943,Bellandur,Bike,Success,267,3.3
CNR7345208587,Rajarajeshwari Nagar,Prime Plus,Success,152,3.1
CNR6488989065,Rajarajeshwari Nagar,eBike,Driver Not Found,1153,
CNR9968121559,BTM Layout,Auto,Success,486,4.5
CNR9246115840,Richmond Town,Prime Plus,Success,717,3.4
CNR9158959128,Hebbal,Prime Sedan,Driver Not Found,414,
CNR1598781288,Chickpet,Auto,Success,441,4.1
CNR2277209569,Yeshwanthpur,Bike,Driver Not Found,476,
CNR5215147606,RT Nagar,Prime SUV,Canceled by Customer,467,
CNR3113184644,Basavanagudi,Prime Plus,Success,162,3.2
CNR7604573265,Koramangala,eBike,Canceled by Driver,184,
CNR1902175722,JP Nagar,Prime SUV,Canceled by Customer,460,
CNR2337286602,Nagarbhavi,eBike,Canceled by Customer,392,
CNR3812819228,Langford Town,Prime SUV,Canceled by Customer,368,
CNR9967062411,Sahakar Nagar,Prime Sedan,Success,482,3.4
CNR6928801606,Nagarbhavi,eBike,Success,359,3.1
CNR8887547051,Vijayanagar,Auto,Driver Not Found,464,
CNR8801010699,Shantinagar,Auto,Canceled by Customer,659,
CNR9307551935,Shantinagar,Prime SUV,Success,336,4.5
CNR3721423408,Yeshwanthpur,Auto,Success,430,3.1
CNR4188491998,Indiranagar,Prime Plus,Success,337,4.6
CNR4684203179,Hennur,Prime SUV,Success,883,4.9
CNR6443801022,MG Road,Prime Sedan,Success,204,4.1
CNR3129276205,Electronic City,Auto,Success,451,4.7
CNR5951102569,Shivajinagar,eBike,Success,438,4.5
CNR5735421549,Mysore Road,Prime Plus,Success,302,4.6
CNR1310997133,Yelahanka,Bike,Canceled by Driver,170,
CNR6382962442,Shivajinagar,eBike,Success,284,3.3
CNR5966666612,Electronic City,Prime SUV,Success,558,4.7
CNR8112837408,Malleshwaram,Mini,Success,493,4.1
CNR1377247188,Majestic,Bike,Success,349,4.7
CNR7198192150,Tumkur Road,Prime Plus,Canceled by Driver,856,
CNR6326742644,Shivajinagar,Auto,Canceled by Driver,970,
CNR4296524286,Kammanahalli,Prime SUV,Driver Not Found,234,
CNR2381493290,Hosur Road,Prime SUV,Canceled by Customer,858,
CNR1493194468,KR Puram,eBike,Success,391,4.2
CNR8782377897,BTM Layout,Prime SUV,Success,182,3.2
CNR9684393759,Kammanahalli,Prime SUV,Canceled by Customer,891,
CNR5333818928,Marathahalli,Prime SUV,Success,839,4.5
CNR6327417132,Koramangala,Mini,Success,901,3.2
CNR1772132732,Nagarbhavi,Bike,Success,605,4.8
CNR9541683406,Indiranagar,Prime Plus,Success,357,4.3
CNR5568332966,Hebbal,Prime SUV,Success,628,3.0
CNR5071270134,Chickpet,Prime SUV,Success,286,3.9
CNR4504472589,Chamarajpet,Prime Sedan,Canceled by Customer,480,
CNR3204123089,Peenya,Mini,Success,444,4.8
CNR4816034558,Devanahalli,eBike,Success,652,3.5
CNR2982785360,Chickpet,Bike,Canceled by Driver,457,
CNR9586281923,Richmond Town,Prime Plus,Canceled by Customer,313,
CNR7809779856,BTM Layout,Bike,Canceled by Driver,170,
CNR8250688099,Richmond Town,Prime SUV,Driver Not Found,343,
CNR6408281861,Shantinagar,eBike,Success,110,3.7
CNR5635114551,Whitefield,Bike,Canceled by Driver,395,
CNR4963489278,Koramangala,Prime Sedan,Canceled by Driver,825,
CNR3580396956,Rajarajeshwari Nagar,Prime Plus,Success,734,3.8
CNR5036114629,Basavanagudi,eBike,Success,439,3.6
CNR9911594372,Chickpet,Mini,Success,242,3.4
CNR7278665695,Hennur,Prime SUV,Success,552,3.2
CNR6318281162,Nagarbhavi,Prime Sedan,Canceled by Customer,882,
CNR7993017432,Malleshwaram,Prime SUV,Success,830,4.5
CNR9659738536,Basavanagudi,Mini,Success,412,3.7
CNR4586354779,Shantinagar,Bike,Driver Not Found,350,
CNR7022860870,Basavanagudi,Prime Plus,Success,333,3.8
CNR1825121100,Banashankari,Prime SUV,Success,1843,3.3
CNR9914731208,Kengeri,Bike,Driver Not Found,919,
CNR6739378301,Ramamurthy Nagar,Auto,Success,205,4.4
CNR7360853265,Banashankari,Bike,Success,190,4.7
CNR1896699131,Majestic,Mini,Success,398,3.7
CNR1036001347,Kadugodi,Auto,Success,311,3.7
CNR7435107387,BTM Layout,Bike,Driver Not Found,901,
CNR2897530488,Frazer Town,Prime SUV,Success,127,3.8
CNR7620784873,Koramangala,Prime SUV,Success,426,5.0
CNR4558592751,Whitefield,Prime SUV,Success,180,3.3
CNR9772522655,Varthur,Auto,Success,1513,3.4
CNR1262847447,Shantinagar,Prime Sedan,Success,921,4.9
CNR3072816721,Ramamurthy Nagar,Prime Sedan,Canceled by Driver,567,
CNR4861568111,Malleshwaram,Prime Plus,Success,1427,4.5
CNR6149275370,RT Nagar,Bike,Success,368,3.1
CNR6480357257,Indiranagar,eBike,Success,358,3.1
CNR3668974910,Ulsoor,eBike,Canceled by Customer,222,
CNR8158246656,KR Puram,Prime Sedan,Success,171,4.5
CNR8655871664,Kadugodi,Prime SUV,Canceled by Customer,383,
CNR8980883100,Sarjapur Road,Auto,Canceled by Driver,761,
CNR9936103758,Yeshwanthpur,Prime Sedan,Success,260,3.9
CNR4679288114,Hebbal,eBike,Canceled by Customer,1245,
CNR5599999670,Marathahalli,Auto,Canceled by Customer,137,
CNR2764987152,Marathahalli,Prime Sedan,Success,223,4.9
CNR4661305592,Chickpet,Bike,Success,759,3.6
CNR1475768676,Electronic City,eBike,Driver Not Found,206,
CNR2336567574,Chamarajpet,Bike,Canceled by Customer,165,
CNR4731086359,KR Puram,Mini,Canceled by Customer,254,
CNR8090491342,Ramamurthy Nagar,Prime SUV,Canceled by Driver,276,
CNR9127681202,MG Road,Prime SUV,Success,940,3.4
CNR5286354298,Mysore Road,Prime SUV,Driver Not Found,246,
CNR8870734166,Langford Town,Prime SUV,Success,316,3.8
CNR1190545889,Bellandur,Prime SUV,Success,468,4.6
CNR5636504807,Yeshwanthpur,Prime Sedan,Canceled by Driver,104,
CNR9942371749,RT Nagar,Prime SUV,Canceled by Customer,145,
CNR6789090500,Chamarajpet,eBike,Success,272,4.7
CNR1844854334,Kadugodi,eBike,Success,239,4.1
CNR2246026373,Malleshwaram,Prime Plus,Success,1757,4.0
CNR2243088727,Ulsoor,Mini,Canceled by Driver,478,
CNR7021692251,HSR Layout,eBike,Success,477,3.7
CNR8046778446,Hebbal,Prime Plus,Success,485,4.8
CNR5898065640,Kadugodi,Mini,Canceled by Customer,633,
CNR6934578961,Padmanabhanagar,Prime Sedan,Canceled by Driver,169,
CNR4742862800,Cox Town,eBike,Canceled by Driver,2660,
CNR4011812519,Vijayanagar,Auto,Canceled by Driver,2985,
CNR7887752770,Chamarajpet,Auto,Success,261,4.1
CNR5340020140,Electronic City,Prime Plus,Success,272,3.4
CNR6049297462,Varthur,Prime SUV,Canceled by Driver,106,
CNR6047579059,Whitefield,Bike,Canceled by Driver,253,
CNR4825238196,Ramamurthy Nagar,Prime SUV,Success,386,4.7
CNR2080513804,Mysore Road,Auto,Success,296,4.8
CNR6875488883,Hulimavu,Prime SUV,Success,2912,3.8
CNR6546916337,HSR Layout,Prime Sedan,Canceled by Driver,302,
CNR4943582434,Padmanabhanagar,Auto,Success,213,4.4
CNR1935207341,Sarjapur Road,Auto,Success,782,4.8
CNR7637695392,Rajarajeshwari Nagar,Prime Plus,Success,393,3.4
CNR7587940086,Nagarbhavi,Mini,Success,876,3.0
CNR5540451518,BTM Layout,eBike,Success,736,4.9
CNR8036988689,Basavanagudi,Auto,Success,126,3.1
CNR1143241219,JP Nagar,Auto,Canceled by Customer,333,
CNR5006774010,Rajarajeshwari Nagar,Prime Sedan,Success,584,4.8
CNR6969506417,BTM Layout,eBike,Driver Not Found,450,
CNR9944707233,Nagarbhavi,eBike,Canceled by Driver,178,
CNR9159336322,Tumkur Road,Mini,Success,1941,3.4
CNR1187188822,Chamarajpet,Prime Sedan,Success,224,4.6
CNR8073310798,Bannerghatta Road,eBike,Canceled by Driver,471,
CNR8317837479,Ramamurthy Nagar,Auto,Success,185,4.9
CNR1736142323,Ramamurthy Nagar,Prime Sedan,Driver Not Found,260,
CNR2209478454,Bellandur,Prime Plus,Canceled by Driver,460,
CNR9193307603,Kadugodi,Prime Sedan,Success,302,3.4
CNR2240517451,Frazer Town,Bike,Success,2800,4.4
CNR7910262142,Cox Town,Prime Sedan,Canceled by Driver,419,
CNR2816415852,Magadi Road,Prime Sedan,Canceled by Driver,192,
CNR3642679371,Nagarbhavi,Prime SUV,Canceled by Driver,151,
CNR3457555408,KR Puram,eBike,Success,824,4.0
CNR4983819214,RT Nagar,Mini,Success,332,3.9
CNR5860880213,Frazer Town,Mini,Success,140,3.2
CNR9802988890,Electronic City,Auto,Success,180,3.2
CNR2338846461,Chamarajpet,Prime Sedan,Success,1902,3.1
CNR5054235536,Varthur,Prime SUV,Success,345,4.9
CNR4363784843,Yelahanka,Prime Plus,Success,359,4.3
CNR3177668878,Nagarbhavi,Prime Sedan,Canceled by Driver,707,
CNR4098008664,Nagarbhavi,eBike,Success,650,3.9
CNR9269456770,Shivajinagar,Auto,Success,326,3.5
CNR9063412453,Varthur,Mini,Canceled by Customer,255,
CNR8500174051,Mysore Road,Auto,Success,391,4.7
CNR3204989897,Vijayanagar,Prime SUV,Driver Not Found,667,
CNR5370636519,Ulsoor,Prime Sedan,Success,440,4.9
CNR8369726311,Indiranagar,Mini,Success,167,4.7
CNR6494799031,KR Puram,Auto,Success,145,4.2
CNR9315126232,Marathahalli,Bike,Driver Not Found,366,
CNR1218675709,Devanahalli,Mini,Success,328,3.2
CNR9870040899,MG Road,Prime Sedan,Success,923,4.1
CNR4848682876,Yeshwanthpur,eBike,Success,664,3.4
CNR8995421845,Majestic,Bike,Canceled by Customer,852,
CNR3258409663,Rajajinagar,Prime Plus,Success,790,3.7
CNR6136886439,Rajajinagar,Auto,Canceled by Driver,217,
CNR4670309470,Banashankari,Prime Plus,Success,714,3.6
CNR4046450953,JP Nagar,Prime SUV,Success,347,4.8
CNR3979881618,HSR Layout,Bike,Success,463,4.2
CNR5987398600,Shantinagar,eBike,Success,524,4.2
CNR1612793387,RT Nagar,Auto,Canceled by Driver,478,
CNR9040060127,Frazer Town,Prime Sedan,Canceled by Driver,244,
CNR1355028000,Majestic,Prime SUV,Success,446,3.3
CNR5905915499,Rajarajeshwari Nagar,Prime Sedan,Success,1567,4.6
CNR4312778613,Devanahalli,Bike,Success,313,4.7
CNR6011042457,Richmond Town,Mini,Success,250,4.8
CNR8813483147,Cox Town,Prime Sedan,Canceled by Driver,2090,
CNR4527385943,Rajarajeshwari Nagar,Prime Plus,Success,217,3.4
CNR5783862233,Basavanagudi,Prime Sedan,Success,166,4.1
CNR7127792656,Peenya,eBike,Canceled by Driver,346,
CNR2419605243,Kengeri,Bike,Canceled by Driver,533,
CNR6719230255,Vijayanagar,eBike,Success,246,4.3
CNR4673942793,Banashankari,Prime SUV,Driver Not Found,398,
CNR2208413668,Sahakar Nagar,Prime SUV,Canceled by Customer,279,
CNR3829027385,Koramangala,Prime Plus,Driver Not Found,356,
CNR9942635368,Ramamurthy Nagar,Prime Sedan,Canceled by Customer,201,
CNR5605266853,Malleshwaram,Prime SUV,Success,375,4.7
CNR1572320326,Hennur,Auto,Success,955,4.3
CNR3586869026,MG Road,eBike,Canceled by Driver,475,
CNR9710027513,Richmond Town,Auto,Driver Not Found,468,
CNR2442728427,Bellandur,Prime Plus,Success,758,3.7
CNR8566685194,HSR Layout,Prime Sedan,Success,357,3.8
CNR1544340926,Kengeri,Prime Sedan,Success,641,3.7
CNR1833632056,Ulsoor,Prime Plus,Success,272,4.1
CNR8932744171,Ramamurthy Nagar,eBike,Success,332,3.8
CNR8583576742,Kammanahalli,Mini,Success,140,3.5
CNR9933616868,Marathahalli,Mini,Canceled by Driver,981,
CNR1076398258,MG Road,eBike,Success,284,4.9
CNR5858452481,Sahakar Nagar,Prime Sedan,Success,2959,4.0
CNR9723028236,Shivajinagar,eBike,Canceled by Customer,980,
CNR1564411645,Bellandur,Prime Plus,Success,498,4.2
CNR2181519136,KR Puram,Prime Sedan,Driver Not Found,272,
CNR7701315362,Vijayanagar,Prime SUV,Success,741,4.3
CNR8551074875,Bannerghatta Road,Prime SUV,Canceled by Driver,390,
CNR3986531958,Bannerghatta Road,Prime Sedan,Success,183,4.0
CNR5070035601,HSR Layout,Prime Plus,Success,792,3.8
CNR4805672658,Peenya,Prime Sedan,Canceled by Driver,1741,
CNR1047787782,Hennur,Prime Sedan,Driver Not Found,277,
CNR6673159284,Vijayanagar,eBike,Canceled by Customer,525,
CNR4932216720,Yelahanka,Prime Plus,Success,2841,3.9
CNR4295837462,Electronic City,Bike,Success,384,4.5
CNR3771954475,Peenya,Bike,Success,187,3.3
CNR5111945861,Indiranagar,Mini,Success,110,4.4
CNR6657733483,Varthur,Prime SUV,Canceled by Driver,291,
CNR3520341911,Malleshwaram,Bike,Success,297,3.2
CNR2047540281,Hulimavu,Mini,Success,262,4.5
CNR3156153779,Cox Town,Auto,Success,985,4.7
CNR1766386244,Langford Town,eBike,Success,330,4.5
CNR5826908135,Rajarajeshwari Nagar,Bike,Success,410,4.4
CNR2811523519,Malleshwaram,Prime SUV,Success,244,4.5
CNR7227358276,Frazer Town,Mini,Success,1883,3.5
CNR6370122773,Nagarbhavi,Bike,Success,495,3.3
CNR1085763856,Ulsoor,Auto,Success,1184,4.6
CNR8427698393,Varthur,Prime Plus,Success,149,4.4
CNR6625291331,Jayanagar,Prime Sedan,Canceled by Customer,928,
CNR8390956889,RT Nagar,Prime Plus,Canceled by Customer,444,
CNR6416317478,KR Puram,Prime Plus,Success,305,3.2
CNR9045899424,Shantinagar,Bike,Canceled by Driver,328,
CNR9417984686,Kammanahalli,Bike,Success,100,4.9
CNR5726591876,Indiranagar,Prime SUV,Canceled by Driver,841,
CNR2590472548,Hosur Road,Prime Sedan,Success,645,3.5
CNR8241996210,Chamarajpet,Auto,Canceled by Driver,677,
CNR1522919788,Shantinagar,Prime Sedan,Driver Not Found,231,
CNR2092652516,Yeshwanthpur,Prime Plus,Canceled by Driver,702,
CNR6817745688,Sahakar Nagar,Prime Sedan,Canceled by Customer,360,
CNR3367916855,Bannerghatta Road,Auto,Driver Not Found,1102,
CNR7430711190,Langford Town,eBike,Success,120,4.1
CNR9243317574,Bellandur,Bike,Canceled by Driver,384,
CNR7697015175,MG Road,Auto,Canceled by Driver,120,
CNR7109828126,Hosur Road,Prime Sedan,Success,457,3.5
CNR7968869092,Hulimavu,Bike,Success,536,4.1
CNR2598951337,Bannerghatta Road,Prime SUV,Success,453,4.2
CNR6179229665,Whitefield,Mini,Driver Not Found,1495,
CNR8354587327,Varthur,Prime Sedan,Canceled by Customer,286,
CNR5653188780,Langford Town,Bike,Success,613,3.2
CNR6853672590,Majestic,Prime SUV,Success,782,4.1
CNR4128108323,Padmanabhanagar,Prime Plus,Canceled by Customer,238,
CNR1082827124,Bannerghatta Road,Prime Plus,Success,186,4.1
CNR4089546334,Electronic City,Prime SUV,Success,417,3.1
CNR7901978294,HSR Layout,Prime SUV,Success,124,4.8
CNR8649061295,Hosur Road,Prime SUV,Success,581,4.1
CNR4004014081,Hennur,Prime SUV,Success,714,3.1
CNR5590247940,Devanahalli,eBike,Success,370,4.0
CNR4605601809,MG Road,Prime Sedan,Canceled by Customer,104,
CNR7052352832,Malleshwaram,Prime Sedan,Success,252,3.9
CNR6701987331,Yeshwanthpur,Prime Sedan,Success,104,3.4
CNR5705351325,Ulsoor,Prime Plus,Success,181,3.1
CNR2296392263,JP Nagar,Auto,Canceled by Customer,239,
CNR9718008060,Varthur,Auto,Driver Not Found,423,
CNR3948553166,Mysore Road,Prime SUV,Canceled by Customer,450,
CNR6142236704,Yelahanka,Prime Sedan,Success,857,3.5
CNR4980004586,Varthur,Prime Sedan,Success,357,4.4
CNR6984510305,Majestic,Auto,Canceled by Driver,291,
CNR6175664134,Yelahanka,eBike,Canceled by Driver,491,
CNR7708328712,Vijayanagar,Prime Sedan,Canceled by Customer,134,
CNR3110024297,Cox Town,Mini,Success,674,3.9
CNR2253018202,MG Road,Prime SUV,Success,206,3.8
CNR8998824447,JP Nagar,Prime Sedan,Canceled by Driver,127,
CNR7611262983,Rajajinagar,Bike,Success,2161,4.9
CNR9735560498,Jayanagar,Prime Plus,Canceled by Customer,1748,
CNR5491190129,Varthur,Bike,Success,923,4.2
CNR7954062192,Varthur,eBike,Success,1444,3.5
CNR4705620670,Koramangala,Prime SUV,Success,445,4.8
CNR9370119401,Magadi Road,Prime Sedan,Success,421,4.6
CNR1063430089,Chamarajpet,Mini,Success,776,3.2
CNR2677658927,Frazer Town,Mini,Canceled by Customer,309,
CNR5613139781,Magadi Road,Auto,Success,192,4.6
CNR1015434106,Tumkur Road,Prime Sedan,Success,179,3.6
CNR4144333913,MG Road,Auto,Success,941,3.6
CNR8548562238,Jayanagar,Prime Sedan,Success,173,4.0
CNR5381451154,Whitefield,Prime Plus,Success,2232,4.2
CNR8503256744,Bannerghatta Road,Prime Sedan,Canceled by Customer,553,
CNR1748088208,Tumkur Road,Prime Plus,Canceled by Driver,859,
CNR5769951759,Ramamurthy Nagar,Prime SUV,Success,337,4.6
CNR9652285080,Yelahanka,Bike,Success,222,4.3
CNR8231190795,Frazer Town,Prime Sedan,Driver Not Found,1471,
CNR3579243194,Kammanahalli,Prime Plus,Canceled by Driver,302,
CNR2543817417,Chamarajpet,Prime SUV,Canceled by Driver,378,
CNR6329793131,Ramamurthy Nagar,Mini,Success,287,4.7
CNR8200453844,Banashankari,Prime SUV,Success,295,3.3
CNR9948486660,Basavanagudi,Auto,Success,424,3.1
CNR8399823404,Peenya,eBike,Canceled by Customer,619,
CNR5110068343,Frazer Town,Prime Sedan,Success,281,3.7
CNR8237106634,Frazer Town,Mini,Canceled by Customer,2597,
CNR4538623337,Kadugodi,Prime Sedan,Success,220,3.5
CNR5704638694,Varthur,Prime Plus,Canceled by Driver,451,
CNR4153043377,MG Road,eBike,Success,111,3.9
CNR7079905133,Sahakar Nagar,eBike,Success,508,3.1
CNR8675133868,Chickpet,eBike,Canceled by Customer,2752,
CNR1904221684,Rajajinagar,Prime SUV,Driver Not Found,403,
CNR3537793775,Marathahalli,Bike,Canceled by Customer,172,
CNR2645125584,Rajajinagar,Prime Plus,Canceled by Customer,412,
CNR1879769588,Peenya,Prime Sedan,Success,331,3.1
CNR7932582487,Yelahanka,Bike,Canceled by Driver,916,
CNR5256017611,Banashankari,Prime SUV,Driver Not Found,1809,
CNR6220332147,Yelahanka,Auto,Success,312,3.1
CNR7013160866,Chamarajpet,Auto,Success,461,3.9
CNR9846612470,Hosur Road,Mini,Success,725,4.6
CNR9492524698,Electronic City,Prime SUV,Canceled by Driver,485,
CNR8048924113,Nagarbhavi,Prime Plus,Success,776,4.0
CNR1057701922,Vijayanagar,eBike,Success,147,4.0
CNR1619088074,Rajarajeshwari Nagar,Bike,Canceled by Driver,283,
CNR8423132258,Sarjapur Road,eBike,Success,2635,4.1
CNR7263281220,Yeshwanthpur,eBike,Canceled by Customer,224,
CNR1263611221,Bellandur,Mini,Canceled by Driver,468,
CNR8833864736,RT Nagar,Prime Sedan,Success,2408,3.8
CNR8595250410,Sarjapur Road,Prime Sedan,Success,1901,3.8
CNR2630636725,MG Road,Prime SUV,Driver Not Found,412,
CNR6873938538,Varthur,Mini,Success,275,3.2
CNR2057508783,Malleshwaram,Mini,Canceled by Driver,991,
CNR7760184362,Vijayanagar,Prime Plus,Canceled by Driver,2388,
CNR2597363564,Mysore Road,Bike,Success,435,4.2
CNR3677428544,Whitefield,Bike,Canceled by Customer,384,
CNR5827071128,HSR Layout,Mini,Success,306,4.9
CNR9727132371,Banashankari,Mini,Success,1762,5.0
CNR9050118776,MG Road,eBike,Success,566,4.6
CNR6965246991,Majestic,Mini,Success,163,3.7
CNR6099445561,Magadi Road,Prime Plus,Success,675,4.3
CNR3287141201,Mysore Road,Prime Plus,Canceled by Driver,215,
CNR6756519391,Rajajinagar,Auto,Canceled by Driver,175,
CNR3876047013,Mysore Road,Auto,Success,680,3.8
CNR3231899335,Richmond Town,Auto,Success,438,4.2
CNR8033014539,Banashankari,Prime Sedan,Canceled by Customer,554,
CNR6281440516,Vijayanagar,Auto,Success,152,3.3
CNR2991995617,Bannerghatta Road,Bike,Driver Not Found,459,
CNR3880492652,Whitefield,Prime SUV,Success,312,4.8
CNR1829002430,Chamarajpet,eBike,Success,189,4.7
CNR5589614402,Langford Town,Prime Sedan,Success,864,4.9
CNR3081625401,Basavanagudi,Bike,Canceled by Driver,404,
CNR4182895005,Basavanagudi,Mini,Canceled by Customer,121,
CNR5074989234,MG Road,eBike,Success,478,4.9
CNR9835791274,Yelahanka,Bike,Canceled by Customer,264,
CNR5811851265,Peenya,Prime Plus,Success,497,3.7
CNR5480589270,Padmanabhanagar,Prime SUV,Success,1334,3.8
CNR7820579617,Sarjapur Road,Auto,Canceled by Driver,646,
CNR1209656922,KR Puram,eBike,Success,421,3.7
CNR8749010050,Jayanagar,Prime Plus,Success,233,4.3
CNR5011562076,HSR Layout,Prime Sedan,Success,479,3.6
CNR4489060739,Koramangala,Bike,Canceled by Driver,966,
CNR4884609047,Yelahanka,eBike,Success,231,4.8
CNR8056115450,Whitefield,eBike,Success,256,3.2
CNR5038613753,Hulimavu,Prime Sedan,Success,119,3.9
CNR6809521457,Langford Town,eBike,Success,482,4.2
CNR4364382646,Bellandur,Prime SUV,Driver Not Found,280,
CNR3248285956,Chickpet,Prime SUV,Success,124,3.6
CNR7567438409,Majestic,eBike,Canceled by Driver,158,
CNR8238032031,Hebbal,Mini,Driver Not Found,573,
CNR7009627841,Ramamurthy Nagar,Auto,Canceled by Customer,322,
CNR7430239050,BTM Layout,Prime Plus,Driver Not Found,791,
CNR3558946186,Kammanahalli,Prime SUV,Success,443,4.7
CNR3443016080,Koramangala,Prime SUV,Success,194,4.1
CNR9176692818,Tumkur Road,eBike,Success,506,3.9
CNR4502609752,Sahakar Nagar,Auto,Success,345,4.7
CNR6381538993,Devanahalli,Mini,Success,115,3.4
CNR3809862323,Bellandur,eBike,Canceled by Driver,478,
CNR9376481775,MG Road,Auto,Canceled by Driver,934,
CNR2055202053,Rajajinagar,Bike,Canceled by Driver,105,
CNR5037634200,Banashankari,Mini,Success,292,4.5
CNR4957595022,Basavanagudi,Auto,Canceled by Customer,400,
CNR5615704830,Ramamurthy Nagar,Prime SUV,Success,459,4.4
CNR5323881473,Indiranagar,Prime SUV,Success,380,5.0
CNR9398200141,Hennur,Auto,Canceled by Driver,243,
CNR9508042572,Whitefield,Prime SUV,Canceled by Driver,201,
CNR6690620965,Marathahalli,eBike,Success,884,3.8
CNR8639823212,Chamarajpet,Prime Sedan,Canceled by Driver,2751,
CNR1329252321,Ramamurthy Nagar,Bike,Success,306,4.0
CNR5883760077,Sarjapur Road,Prime Plus,Canceled by Driver,188,
CNR4914508196,JP Nagar,Auto,Success,629,3.9
CNR1489825252,Yelahanka,Prime Plus,Success,313,3.2
CNR4842932213,MG Road,eBike,Canceled by Driver,393,
CNR9167276775,Langford Town,Auto,Success,453,4.7
CNR6995160866,Yeshwanthpur,Prime SUV,Canceled by Customer,424,
CNR7344457165,Bannerghatta Road,Mini,Success,419,4.9
CNR6080790259,Majestic,Auto,Success,563,4.3
CNR7407402073,Hulimavu,Bike,Success,900,3.4
CNR5611652489,Yelahanka,Prime Sedan,Success,358,3.2
CNR4219651501,Basavanagudi,eBike,Success,2390,4.1
CNR9841738372,Yelahanka,eBike,Success,435,3.1
CNR7584860358,BTM Layout,Mini,Success,501,3.0
CNR9541469242,Kammanahalli,Prime Plus,Success,220,3.1
CNR6292230385,Peenya,Prime Plus,Canceled by Driver,554,
CNR7938799921,Cox Town,eBike,Success,2031,3.9
CNR8465626045,Sarjapur Road,Auto,Success,105,3.6
CNR2335951800,Ulsoor,Prime SUV,Success,874,3.6
CNR1633248369,Shivajinagar,Auto,Success,848,3.3
CNR8225448612,Tumkur Road,Auto,Success,291,4.8
CNR3950819793,HSR Layout,Bike,Success,321,3.5
CNR6053029097,Hennur,Prime Plus,Success,775,3.5
CNR9541330533,Tumkur Road,Auto,Success,668,4.6
